StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume,PriceLag48,PPC,PPCMA_6,PPCMA_12,PPCMA_24,PCMA_6,PCMA_12,PCMA_24,MAD_6,MAD_12,MAD_24,PR_6,PR_12,PR_24,TR_6,ATR_6,TR_12,ATR_12,TR_24,ATR_24,RSI_6,RSI_12,RSI_24,PMOM_6,PMOM_12,PMOM_24,MACD,ADX_6,ADX_12,ADX_24
2024-07-23 21:00:00+00:00,APXMIDP,2024-07-23,45,101.78,1934.05,100.23,1.546443180684423,-2.4894291659229366,-2.4456338931093633,3.441752832438496,-0.024894291659224504,-0.024456338931117757,0.03441752832439707,-4089.487489150378,-4162.7022190716025,2956.214098603724,82.8985507246376,10.403783193888687,8.797293140572128,4.409999999999997,12.580000000000005,27.489999999999995,27.565833333333334,32.510000000000005,36.80833333333334,-29.910447761194092,-27.443837279902752,283.2385513319367,-1.4699999999999989,26.299999999999997,10.260000000000005,-1.2277083333333252,0.6257004109077322,0.645629165033321,0.21437279435354487
2024-07-23 21:30:00+00:00,APXMIDP,2024-07-23,46,96.95,2142.65,94.06,3.072506910482671,-1.07360169132774,-2.4883295667882606,3.709213260915418,-0.01073601691327254,-0.024883295667906726,0.03709213260916629,-9031.350900448406,-3897.188081108622,2612.7618190236253,100.0,34.84367920253736,23.65426022762226,10.579999999999998,9.878333333333337,22.070000000000007,28.712500000000002,32.510000000000005,36.810833333333335,-99.62168978562437,-28.300733496332413,247.89018810371138,-6.480000000000004,19.799999999999997,9.150000000000006,-0.9066666666666521,0.33417614833544,0.6385636221701804,0.2526653821451509
2024-07-23 22:00:00+00:00,APXMIDP,2024-07-23,47,88.89,1708.15,85.58,3.8677261042299627,0.9628014713809975,-1.8401724387611045,4.296321816751775,0.009628014713814833,-0.018401724387635165,0.042963218167529856,9231.43292020062,-4831.525559861589,2067.979089354625,100.0,100.0,48.44663180559827,19.060000000000002,9.811666666666673,19.060000000000002,29.150833333333335,32.510000000000005,36.81333333333334,243.69565217391278,-48.25335892514386,195.25561580170415,-12.299999999999997,6.320000000000007,9.939999999999998,-0.5614583333333201,0.2581369248035918,0.5088884547763239,0.34422077056392464
2024-07-23 22:30:00+00:00,APXMIDP,2024-07-23,48,80.15,1456.15,85.68,-6.454248366013073,0.8995616271481105,-2.504528683050935,4.370407540599872,0.008995616271485964,-0.025045286830533472,0.043704075406010824,8908.895395833755,-3201.2029181109915,1832.9250803364805,100.0,100.0,75.33066748692707,24.489999999999995,11.70666666666667,24.489999999999995,29.623333333333335,32.510000000000005,36.81583333333334,197.3591549295774,-34.031572556162644,189.3876784372653,-22.049999999999997,-10.799999999999997,0.6700000000000017,-0.41833333333335077,0.3393070489844686,0.5950144508670526,0.358711763913219
2024-07-23 23:00:00+00:00,APXMIDP,2024-07-24,1,74.41,1651.95,78.07,-4.688100422697575,-0.17230683197938435,-2.777578881405068,4.179250275474723,-0.0017230683197889836,-0.027775788814074807,0.04179250275475934,-43185.590619780334,-2679.9518201655633,1779.4628843752644,100.0,100.0,92.98677330052291,30.230000000000004,15.370000000000005,30.230000000000004,30.065,32.510000000000005,36.818333333333335,4095.6521739129585,-31.81947204087419,203.0406766008861,-30.070000000000007,-21.28,-5.25,-0.5608333333333348,0.012358946802794412,0.6111014744145712,0.3267105263157893
2024-07-23 23:30:00+00:00,APXMIDP,2024-07-24,2,70.2,1498.0,74.33,-5.556302973227493,-1.368662594423519,-2.811821477621537,3.5648364254013845,-0.013686625944230327,-0.028118214776239492,0.03564836425402595,-5130.094656787432,-2497.60231130038,1968.2348153694586,100.0,100.0,100.0,31.58,20.058333333333337,34.44,30.49166666666667,34.44,36.87375000000001,-139.13824057450643,-32.83538371411828,242.67285861713108,-34.44,-26.03,-10.239999999999995,-0.9014583333333235,0.2643569055529187,0.603606789250354,0.2595072308516335
2024-07-24 00:00:00+00:00,APXMIDP,2024-07-24,3,67.48,1180.05,77.44,-12.861570247933876,-3.7699981658599016,-3.129713665888989,2.583071618739508,-0.03769998165859416,-0.03129713665891402,0.02583071618740719,-1790.9212952167877,-2157.107785048139,2611.3936909228005,100.0,100.0,100.0,29.47,24.235000000000003,37.16,30.139166666666664,37.16,36.838750000000005,-36.29976580796256,-33.136269583210094,404.38432835820953,-34.3,-35.769999999999996,-8.659999999999997,-1.0547916666666595,0.5793758480325643,0.6014222222222227,0.1410897604632796
2024-07-24 00:30:00+00:00,APXMIDP,2024-07-24,4,64.16,1278.0,81.0,-20.790123456790127,-7.747103227072035,-4.410352459197457,1.1157993688351115,-0.07747103227071549,-0.0441035245919987,0.011157993688363224,-829.1805226991,-1455.7590151477364,5749.137685318201,100.0,100.0,100.0,24.730000000000004,26.593333333333344,40.480000000000004,30.409999999999997,40.480000000000004,36.78000000000001,-8.992121706058143,-25.05587840858287,-1624.7899159663787,-32.790000000000006,-39.27000000000001,-10.090000000000003,-1.1243750000000148,0.8475708035919869,0.6661703394877908,0.029854490717511433
2024-07-24 01:00:00+00:00,APXMIDP,2024-07-24,5,75.81,1885.25,83.73,-9.458975277678253,-9.968220124056737,-4.50270932633544,0.13444034673317976,-0.0996822012405625,-0.045027093263378525,0.0013444034673439076,-761.5169133158302,-1684.6529854717019,56388.32198663193,27.14196372732959,71.22035573122528,71.22035573122528,19.570000000000007,26.67833333333334,40.480000000000004,30.61583333333333,40.480000000000004,36.65166666666667,0.0,-25.805709023941006,-316.95229272811446,-13.079999999999998,-25.379999999999995,3.680000000000007,-0.8060416666666583,1.0,0.659580929243851,0.13625749447775337
2024-07-24 01:30:00+00:00,APXMIDP,2024-07-24,6,70.86,2274.1,84.61,-16.25103415671906,-11.60101775584107,-5.350728064344049,-1.1087879486525496,-0.11601017755840583,-0.053507280643464626,-0.011087879486513387,-611.8084781124072,-1325.3057607835062,-6391.762100741601,42.4892703862661,83.4486166007905,83.4486166007905,20.450000000000003,26.005000000000006,40.480000000000004,31.211666666666662,40.480000000000004,36.54500000000001,0.0,-22.162910241202,-135.84090909090898,-9.290000000000006,-31.340000000000003,-1.5400000000000063,-0.5837500000000091,1.0,0.6928767123287677,0.2690473278708575
2024-07-24 02:00:00+00:00,APXMIDP,2024-07-24,7,67.09,2392.9,87.2,-23.061926605504585,-14.663322119642238,-7.41781447580838,-3.4174569068733036,-0.1466332211964175,-0.07417814475810793,-0.03417456906872093,-458.53615348961,-905.4442971548818,-1964.1556981769143,74.84978540772528,92.76185770750986,92.76185770750986,23.040000000000006,24.806666666666672,40.480000000000004,32.16833333333333,40.480000000000004,36.30083333333334,0.0,-12.996688741721812,-48.07554386803727,-7.319999999999993,-37.39,-12.899999999999991,-0.7022916666666674,1.0,0.7936925098554538,0.5098110907982939
2024-07-24 02:30:00+00:00,APXMIDP,2024-07-24,8,66.35,1694.25,87.31,-24.006413927385186,-17.738340612001853,-9.553501603210256,-5.652794729309142,-0.1773834061200137,-0.09553501603212668,-0.0565279472930793,-375.04851700225583,-695.5097489457447,-1174.75569390476,81.20171673819745,94.17862838915471,94.5899209486166,23.150000000000006,23.401666666666674,37.620000000000005,32.873333333333335,40.480000000000004,36.09666666666667,0.0,-8.148459678267244,-17.928676111382487,-3.8500000000000085,-38.290000000000006,-13.25,-0.8177083333333428,1.0,0.859868004701203,0.7360661632506295
2024-07-24 03:00:00+00:00,APXMIDP,2024-07-24,9,65.7,1636.45,86.8,-24.30875576036866,-19.646204864074317,-11.70810151496468,-7.07686770404066,-0.19646204864073832,-0.11708101514967091,-0.07076867704039448,-335.4157329853704,-562.149900485678,-929.3768292361704,86.78111587982828,95.30344617261358,96.19565217391303,22.64,22.26333333333334,32.790000000000006,33.315000000000005,40.480000000000004,36.196666666666665,0.0,-5.264945652173893,-10.112806901128053,-1.7800000000000011,-36.08,-9.780000000000001,-0.7856250000000102,1.0,0.9047326367547638,0.8317695109835523
